UFNUMB,CommonName,Family,Genus,Species,Subspecies,Preparations,Country,State,County,Latitude1,Longitude1,image
27994,,PYCNONOTIDAE,ANDROPADUS,LATIROSTRIS,LATIROSTRIS,P SKEL - 1,KENYA,WESTERN PROVINCE,KAKAMEGA DISTRICT,0.25,34.8333333,
27995,,PYCNONOTIDAE,ANDROPADUS,LATIROSTRIS,LATIROSTRIS,C SKEL - 1,KENYA,WESTERN PROVINCE,KAKAMEGA DISTRICT,0.25,34.8333333,
27996,,PYCNONOTIDAE,CHLOROCICHLA,FLAVIVENTRIS,CENTRALIS,C SKEL - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,,,
27997,,PYCNONOTIDAE,CHLOROCICHLA,FLAVIVENTRIS,CENTRALIS,C SKEL - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,,,
27998,,PYCNONOTIDAE,CHLOROCICHLA,FLAVIVENTRIS,CENTRALIS,P SKEL - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,,,
27999,,PYCNONOTIDAE,CHLOROCICHLA,FLAVIVENTRIS,OCCIDENTALIS,C SKEL - 1,ZIMBABWE,,,,,
28000,,PYCNONOTIDAE,CHLOROCICHLA,FLAVIVENTRIS,OCCIDENTALIS,C SKEL - 1,ZIMBABWE,,,,,
28001,,PYCNONOTIDAE,CHLOROCICHLA,FLAVIVENTRIS,OCCIDENTALIS,C SKEL - 1,ZIMBABWE,MASVINGO PROVINCE,,-21.0333333,31.9166667,
28002,,PYCNONOTIDAE,PHYLLASTREPHUS,TERRESTRIS,INTERMEDIUS,C SKEL - 1,ZIMBABWE,,,-22.3333333,31.0833333,
28003,,PYCNONOTIDAE,PHYLLASTREPHUS,TERRESTRIS,INTERMEDIUS,C SKEL - 1,ZIMBABWE,,,-22.3333333,31.0833333,
28004,,PYCNONOTIDAE,PHYLLASTREPHUS,TERRESTRIS,INTERMEDIUS,C SKEL - 1,ZIMBABWE,,,-22.3333333,31.0833333,
28005,,PYCNONOTIDAE,PHYLLASTREPHUS,TERRESTRIS,INTERMEDIUS,C SKEL - 1,ZIMBABWE,MASVINGO PROVINCE,,-21.0333333,31.9166667,
28006,,PYCNONOTIDAE,PHYLLASTREPHUS,TERRESTRIS,SUAHELICUS,C SKEL - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,,,
28007,,PYCNONOTIDAE,PHYLLASTREPHUS,TERRESTRIS,SUAHELICUS,C SKEL - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,,,
28008,,PYCNONOTIDAE,PHYLLASTREPHUS,STREPITANS,,C SKEL - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,,,
28009,,PYCNONOTIDAE,PHYLLASTREPHUS,STREPITANS,,C SKEL - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,,,
28010,,PYCNONOTIDAE,PHYLLASTREPHUS,STREPITANS,,C SKEL - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,,,
28011,,PYCNONOTIDAE,PHYLLASTREPHUS,STREPITANS,,C SKEL - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,,,
28012,,PYCNONOTIDAE,PHYLLASTREPHUS,STREPITANS,,C SKEL - 1,KENYA,EASTERN PROVINCE,MACHAKOS DISTRICT,,,
28013,,PYCNONOTIDAE,PHYLLASTREPHUS,FLAVOSTRIATUS,TENUIROSTRIS,C SKEL - 1,TANZANIA,TANGA PROVINCE,,,,
28014,,PYCNONOTIDAE,PHYLLASTREPHUS,FLAVOSTRIATUS,,C SKEL - 1,ZIMBABWE,,,-20.4333333,32.7,
28015,,PYCNONOTIDAE,PHYLLASTREPHUS,DEBILIS,DEBILIS,C SKEL - 1,ZIMBABWE,,,,,
28016,,PYCNONOTIDAE,PHYLLASTREPHUS,DEBILIS,DEBILIS,C SKEL - 1,ZIMBABWE,,,,,
28017,,PYCNONOTIDAE,PHYLLASTREPHUS,FISCHERI,,C SKEL - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,,,
28018,,PYCNONOTIDAE,PHYLLASTREPHUS,FISCHERI,,C SKEL - 1,KENYA,EASTERN PROVINCE,MERU DISTRICT,,,
28019,,PYCNONOTIDAE,PHYLLASTREPHUS,FISCHERI,,C SKEL - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,,,
28020,,PYCNONOTIDAE,PHYLLASTREPHUS,FISCHERI,,C SKEL - 1,KENYA,COAST PROVINCE,KWALE DISTRICT,,,
28021,,PYCNONOTIDAE,PHYLLASTREPHUS,FISCHERI,,C SKEL - 1,KENYA,WESTERN PROVINCE,KAKAMEGA DISTRICT,0.25,34.8333333,
